Date/Time,FPT_Open,MSN_Open,PNJ_Open,VIC_Open,FPT_High,MSN_High,PNJ_High,VIC_High,FPT_Low,MSN_Low,PNJ_Low,VIC_Low,FPT_Close,MSN_Close,PNJ_Close,VIC_Close,FPT_Volume,MSN_Volume,PNJ_Volume,VIC_Volume
2018-12-25,30.89,78.9,67.15,100.1,30.89,80.4,69.27,101.9,30.59,77.9,66.86,100.1,30.66,80.0,67.36,101.9,84960.0,562070.0,307360.0,293610.0
2018-12-26,31.04,80.0,67.36,101.0,31.22,80.2,67.94,101.9,30.89,79.0,67.15,101.0,30.89,79.0,67.22,101.9,333590.0,577200.0,173060.0,367750.0
2018-12-27,31.41,80.0,68.66,101.0,31.52,80.5,70.0,102.9,31.19,79.0,67.94,101.0,31.19,79.0,68.15,102.4,454860.0,425950.0,146070.0,690680.0
2018-12-28,31.34,79.4,68.66,103.3,31.49,80.0,69.78,103.4,31.19,77.5,67.86,95.3,31.49,77.5,69.04,95.3,387170.0,546000.0,206530.0,381320.0
2019-01-02,31.19,78.9,67.57,101.2,31.45,78.9,69.49,101.3,30.7,78.2,66.7,97.5,30.74,78.6,66.7,100.4,459120.0,433670.0,142060.0,602450.0
2019-01-03,30.93,78.9,66.7,100.0,30.93,78.9,68.52,100.3,30.37,77.6,64.38,98.2,30.44,78.0,64.53,100.3,716600.0,565640.0,398110.0,496950.0
2019-01-04,30.29,77.0,63.44,100.0,30.93,77.5,66.08,100.7,30.22,75.5,62.64,98.0,30.66,76.2,65.25,100.6,318570.0,463070.0,242880.0,458000.0
2019-01-07,31.19,78.1,66.34,100.9,31.41,78.5,67.93,103.0,31.04,77.2,65.69,99.9,31.19,78.2,66.27,101.0,408470.0,336380.0,214970.0,589150.0
2019-01-08,31.19,78.2,65.98,102.0,31.34,79.1,67.19,102.0,31.11,78.1,65.25,99.7,31.34,79.0,65.98,101.0,295660.0,279810.0,132390.0,494300.0
2019-01-09,31.41,79.0,66.48,101.0,31.78,79.8,67.93,101.9,31.26,78.9,65.61,99.0,31.63,79.0,67.78,101.5,309040.0,339530.0,166090.0,659210.0
2019-01-10,31.63,79.0,66.48,101.2,31.75,81.1,68.6,101.5,31.45,79.0,66.05,100.0,31.45,80.2,66.92,101.4,207330.0,450900.0,153450.0,551980.0
2019-01-11,31.63,80.3,67.06,101.0,31.75,81.2,68.6,101.4,31.37,80.0,66.63,100.1,31.49,80.7,68.52,101.4,596090.0,452300.0,237830.0,569030.0
2019-01-14,31.56,80.7,68.45,101.3,31.78,81.3,68.45,101.9,31.34,80.3,66.34,100.2,31.71,80.5,66.63,101.4,398400.0,268810.0,151770.0,562930.0
2019-01-15,31.56,80.6,66.05,101.4,31.93,82.0,68.15,101.5,31.56,80.4,66.05,100.4,31.93,81.9,66.63,101.5,339480.0,403800.0,94060.0,711450.0
2019-01-16,32.08,82.0,66.99,101.5,32.08,82.6,68.37,102.1,31.75,81.4,66.27,100.8,31.75,81.4,66.48,102.0,186590.0,483100.0,92390.0,518160.0
2019-01-17,31.71,81.3,66.12,102.0,31.9,82.1,67.71,102.2,31.34,80.2,65.25,100.7,31.34,80.2,65.25,102.0,379770.0,320060.0,278850.0,325130.0
2019-01-18,31.41,80.2,65.61,101.5,31.71,81.4,66.6,102.2,31.34,80.2,64.67,100.9,31.34,81.0,64.67,102.2,227150.0,359080.0,126480.0,498290.0
2019-01-21,31.49,81.0,65.25,102.2,31.93,81.3,68.0,102.4,31.49,80.6,65.25,101.3,31.71,80.8,67.93,102.4,247800.0,266000.0,162760.0,404250.0
2019-01-22,31.71,80.8,66.48,102.4,31.9,80.9,68.0,102.4,31.6,80.1,65.69,101.5,31.6,80.1,65.69,102.4,141480.0,115780.0,160140.0,258070.0
